original_shape,float_type,index_type,block_shape,metric,error
23×256×256,bfloat16,int8,4×4×4,mean,0.06664656102657318
23×256×256,bfloat16,int8,4×4×4,variance,-0.012513017281889915
23×256×256,bfloat16,int8,4×4×4,norm_2,-1.586090087890625
20×256×256,bfloat16,int8,4×4×4,mean,0.04014475643634796
20×256×256,bfloat16,int8,4×4×4,variance,-0.0076532065868377686
20×256×256,bfloat16,int8,4×4×4,norm_2,-0.393707275390625
20×256×256,bfloat16,int8,4×4×4,mean,0.04626748710870743
20×256×256,bfloat16,int8,4×4×4,variance,-0.008110353723168373
20×256×256,bfloat16,int8,4×4×4,norm_2,-0.3916168212890625
20×256×256,bfloat16,int8,4×4×4,mean,0.04407953470945358
20×256×256,bfloat16,int8,4×4×4,variance,-0.009332025423645973
20×256×256,bfloat16,int8,4×4×4,norm_2,-0.85247802734375
20×256×256,bfloat16,int8,4×4×4,mean,0.0403151735663414
20×256×256,bfloat16,int8,4×4×4,variance,-0.007244981825351715
20×256×256,bfloat16,int8,4×4×4,norm_2,-0.4407806396484375
20×256×256,bfloat16,int8,4×4×4,mean,0.045769378542900085
20×256×256,bfloat16,int8,4×4×4,variance,-0.010054120793938637
20×256×256,bfloat16,int8,4×4×4,norm_2,-0.7747344970703125
24×256×256,bfloat16,int8,4×4×4,mean,0.04024825990200043
24×256×256,bfloat16,int8,4×4×4,variance,-0.0059441253542900085
24×256×256,bfloat16,int8,4×4×4,norm_2,0.0023193359375
22×256×256,bfloat16,int8,4×4×4,mean,0.04248277097940445
22×256×256,bfloat16,int8,4×4×4,variance,-0.003481850028038025
22×256×256,bfloat16,int8,4×4×4,norm_2,-0.3759918212890625
25×256×256,bfloat16,int8,4×4×4,mean,0.054890766739845276
25×256×256,bfloat16,int8,4×4×4,variance,-0.008009826764464378
25×256×256,bfloat16,int8,4×4×4,norm_2,-1.040618896484375
24×256×256,bfloat16,int8,4×4×4,mean,0.03403105586767197
24×256×256,bfloat16,int8,4×4×4,variance,-0.005242988467216492
24×256×256,bfloat16,int8,4×4×4,norm_2,-0.1522216796875
20×256×256,bfloat16,int8,4×4×4,mean,0.037749841809272766
20×256×256,bfloat16,int8,4×4×4,variance,-0.00766780786216259
20×256×256,bfloat16,int8,4×4×4,norm_2,-0.7167816162109375
24×256×256,bfloat16,int8,4×4×4,mean,0.03834833949804306
24×256×256,bfloat16,int8,4×4×4,variance,-0.006153209134936333
24×256×256,bfloat16,int8,4×4×4,norm_2,-0.882598876953125
26×256×256,bfloat16,int8,4×4×4,mean,0.050877079367637634
26×256×256,bfloat16,int8,4×4×4,variance,-0.006438784301280975
26×256×256,bfloat16,int8,4×4×4,norm_2,-0.4420166015625
20×256×256,bfloat16,int8,4×4×4,mean,0.04081740230321884
20×256×256,bfloat16,int8,4×4×4,variance,-0.0080767422914505
20×256×256,bfloat16,int8,4×4×4,norm_2,-0.873565673828125
28×256×256,bfloat16,int8,4×4×4,mean,0.03966359794139862
28×256×256,bfloat16,int8,4×4×4,variance,-0.005267821252346039
28×256×256,bfloat16,int8,4×4×4,norm_2,-0.1349639892578125
22×256×256,bfloat16,int8,4×4×4,mean,0.054985783994197845
22×256×256,bfloat16,int8,4×4×4,variance,-0.006320623680949211
22×256×256,bfloat16,int8,4×4×4,norm_2,-0.6128692626953125
38×256×256,bfloat16,int8,4×4×4,mean,0.03644467890262604
38×256×256,bfloat16,int8,4×4×4,variance,-0.0033308817073702812
38×256×256,bfloat16,int8,4×4×4,norm_2,-0.345947265625
40×256×256,bfloat16,int8,4×4×4,mean,0.04169744253158569
40×256×256,bfloat16,int8,4×4×4,variance,-0.005417230539023876
40×256×256,bfloat16,int8,4×4×4,norm_2,-1.1280670166015625
36×256×256,bfloat16,int8,4×4×4,mean,0.02034580707550049
36×256×256,bfloat16,int8,4×4×4,variance,-0.001884253229945898
36×256×256,bfloat16,int8,4×4×4,norm_2,-0.706329345703125
36×256×256,bfloat16,int8,4×4×4,mean,0.03125724196434021
36×256×256,bfloat16,int8,4×4×4,variance,-0.00454782135784626
36×256×256,bfloat16,int8,4×4×4,norm_2,-0.0096435546875
36×256×256,bfloat16,int8,4×4×4,mean,0.026045016944408417
36×256×256,bfloat16,int8,4×4×4,variance,-0.0031104786321520805
36×256×256,bfloat16,int8,4×4×4,norm_2,0.1669769287109375
26×256×256,bfloat16,int8,4×4×4,mean,0.03370415419340134
26×256×256,bfloat16,int8,4×4×4,variance,-0.002400756813585758
26×256×256,bfloat16,int8,4×4×4,norm_2,-0.5534515380859375
36×256×256,bfloat16,int8,4×4×4,mean,0.034813180565834045
36×256×256,bfloat16,int8,4×4×4,variance,-0.004315928556025028
36×256×256,bfloat16,int8,4×4×4,norm_2,-0.5444793701171875
71×256×256,bfloat16,int8,4×4×4,mean,0.040934234857559204
71×256×256,bfloat16,int8,4×4×4,variance,-0.0058967117220163345
71×256×256,bfloat16,int8,4×4×4,norm_2,0.03692626953125
38×256×256,bfloat16,int8,4×4×4,mean,0.030482321977615356
38×256×256,bfloat16,int8,4×4×4,variance,-0.0024697259068489075
38×256×256,bfloat16,int8,4×4×4,norm_2,-0.513916015625
53×256×256,bfloat16,int8,4×4×4,mean,0.04994837939739227
53×256×256,bfloat16,int8,4×4×4,variance,-0.005909299477934837
53×256×256,bfloat16,int8,4×4×4,norm_2,-0.34454345703125
57×256×256,bfloat16,int8,4×4×4,mean,0.040215909481048584
57×256×256,bfloat16,int8,4×4×4,variance,-0.004284720867872238
57×256×256,bfloat16,int8,4×4×4,norm_2,-1.60858154296875
51×256×256,bfloat16,int8,4×4×4,mean,0.04766269028186798
51×256×256,bfloat16,int8,4×4×4,variance,-0.007479976862668991
51×256×256,bfloat16,int8,4×4×4,norm_2,-0.256683349609375
53×256×256,bfloat16,int8,4×4×4,mean,0.04048725217580795
53×256×256,bfloat16,int8,4×4×4,variance,-0.003949020057916641
53×256×256,bfloat16,int8,4×4×4,norm_2,-0.4595184326171875
60×256×256,bfloat16,int8,4×4×4,mean,0.0235745906829834
60×256×256,bfloat16,int8,4×4×4,variance,-0.0026412317529320717
60×256×256,bfloat16,int8,4×4×4,norm_2,-0.6233367919921875
58×256×256,bfloat16,int8,4×4×4,mean,0.04618840664625168
58×256×256,bfloat16,int8,4×4×4,variance,-0.005626745522022247
58×256×256,bfloat16,int8,4×4×4,norm_2,0.173095703125
56×256×256,bfloat16,int8,4×4×4,mean,0.04232235997915268
56×256×256,bfloat16,int8,4×4×4,variance,-0.006763877347111702
56×256×256,bfloat16,int8,4×4×4,norm_2,-0.78753662109375
52×256×256,bfloat16,int8,4×4×4,mean,0.044308871030807495
52×256×256,bfloat16,int8,4×4×4,variance,-0.006024200469255447
52×256×256,bfloat16,int8,4×4×4,norm_2,-0.6868896484375
58×256×256,bfloat16,int8,4×4×4,mean,0.053325749933719635
58×256×256,bfloat16,int8,4×4×4,variance,-0.008522078394889832
58×256×256,bfloat16,int8,4×4×4,norm_2,-1.540802001953125
49×256×256,bfloat16,int8,4×4×4,mean,0.06237292289733887
49×256×256,bfloat16,int8,4×4×4,variance,-0.009753311052918434
49×256×256,bfloat16,int8,4×4×4,norm_2,-0.267730712890625
60×256×256,bfloat16,int8,4×4×4,mean,0.027773365378379822
60×256×256,bfloat16,int8,4×4×4,variance,-0.002996764611452818
60×256×256,bfloat16,int8,4×4×4,norm_2,-0.79754638671875
36×256×256,bfloat16,int8,4×4×4,mean,0.030048467218875885
36×256×256,bfloat16,int8,4×4×4,variance,-0.0040326230227947235
36×256×256,bfloat16,int8,4×4×4,norm_2,-0.2232208251953125
38×256×256,bfloat16,int8,4×4×4,mean,0.0337633341550827
38×256×256,bfloat16,int8,4×4×4,variance,-0.0028111329302191734
38×256×256,bfloat16,int8,4×4×4,norm_2,-0.4199371337890625
34×256×256,bfloat16,int8,4×4×4,mean,0.026134725660085678
34×256×256,bfloat16,int8,4×4×4,variance,-0.0016992269083857536
34×256×256,bfloat16,int8,4×4×4,norm_2,-0.38775634765625
32×256×256,bfloat16,int8,4×4×4,mean,0.020030155777931213
32×256×256,bfloat16,int8,4×4×4,variance,-0.002257351763546467
32×256×256,bfloat16,int8,4×4×4,norm_2,-0.0687408447265625
36×256×256,bfloat16,int8,4×4×4,mean,0.03118310123682022
36×256×256,bfloat16,int8,4×4×4,variance,-0.0034182872623205185
36×256×256,bfloat16,int8,4×4×4,norm_2,-0.9149932861328125
36×256×256,bfloat16,int8,4×4×4,mean,0.015198331326246262
36×256×256,bfloat16,int8,4×4×4,variance,-0.0011454937048256397
36×256×256,bfloat16,int8,4×4×4,norm_2,-0.41405487060546875
35×256×256,bfloat16,int8,4×4×4,mean,0.039249010384082794
35×256×256,bfloat16,int8,4×4×4,variance,-0.004380873404443264
35×256×256,bfloat16,int8,4×4×4,norm_2,-0.6668548583984375
